1	38956
2	39074
3	38970
4	39077
5	38970
6	39077
7	38968
8	39076
9	38971
10	39077
11	38972
12	39075
13	38969
14	39077
15	38973
16	39078
17	38967
18	39078
19	38968
20	39065
21	38978
22	39075
23	38971
24	39084
25	38969
26	39073
27	38964
28	39087
29	38964
30	39080
31	38975
32	39105
33	38960
34	39104
35	38953
36	39099
37	38950
38	39097
39	38956
40	39082
41	38967
42	39071
43	38967
44	39106
45	38947
46	39101
47	38953
48	39099
49	38959
50	39107
51	38964
52	39097
