A0- G0:aa G1:88 G2:88 G3:55 A1- G0:a8 G1:88 G2:80 G3:15 A2- G0:88 G1:80 G2:00 G3:11 
A0- G0:80808080 G1:85d585d5 G2:a482a482 G3:55955595 A1- G0:80808080 G1:90009000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15111515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:85d5 G2:a483 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:151d A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808200 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:15aa G1:85d5 G2:a482 G3:5595 
A0- G0:8084 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:9000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:85d5 G2:a483 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:559d 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:8dd5 G2:a482 G3:5595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:151d151d A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a682 G3:5597 
A0- G0:8180 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5597 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8001 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5515 
A0- G0:80808080 G1:85d585d5 G2:a483a483 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:15aa15aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:8080 G1:85d5 G2:a482 G3:5795 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:85d5 G2:8402 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:151d A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:85d4 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:15aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80908000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:c080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8180 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:80908000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:85d5 G2:8480 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1514 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808020 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15141514 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808000 G1:80800000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:81808180 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:8090 G1:8000 G2:8000 G3:1515 A1- G0:8080 G1:8000 G2:8080 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1515 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:c080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a582 G3:5595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:c080c080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000400 G2:88888888 G3:15151515 
A0- G0:80 G1:85 G2:84 G3:55 A1- G0:81 G1:80 G2:a0 G3:15 A2- G0:95 G1:85 G2:a4 G3:55 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:1515151d 
A0- G0:8190 G1:8000 G2:8000 G3:1515 A1- G0:8080 G1:8000 G2:8080 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1515 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8200 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:c000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:85aa G1:85d5 G2:a482 G3:5595 
A0- G0:80908000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80888000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80908090 G1:80008000 G2:80008000 G3:15151515 A1- G0:80808080 G1:80008000 G2:80808080 G3:15151515 A2- G0:80808080 G1:80008000 G2:88888888 G3:15151515 
A0- G0:80808080 G1:85d585d5 G2:a482a482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:85aa85aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808200 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:85d5 G2:8482 G3:1595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:80a0 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:ac82a482 G3:55955595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80000000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:ac82a482 G3:55955595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d595d5 G2:a482a482 G3:55955595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151715 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85f5 G2:a482 G3:5595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80800000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151d15 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:8555 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000040 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151115 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85f585f5 G2:a482a482 G3:55955595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808082 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808000 G1:80000000 G2:80020000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80004000 G2:88888888 G3:15151515 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:958a G1:85d5 G2:a482 G3:5595 
A0- G0:80808080 G1:85558555 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:8080 G1:8000 G2:8002 G3:1515 A1- G0:8080 G1:8000 G2:8080 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1515 
A0- G0:80808000 G1:80010000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000040 G2:80808080 G3:15151515 A2- G0:80808000 G1:80100000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80010000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:888888a8 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:00808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:958a958a G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:8080 G1:8555 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:81d5 G2:a482 G3:5595 
A0- G0:80808000 G1:80000000 G2:80000001 G3:15151515 A1- G0:80808000 G1:80000040 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80010000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000010 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:8001 G2:8000 G3:1515 A1- G0:8080 G1:8000 G2:8080 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000040 G2:80808080 G3:1d151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808800 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808084 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151517 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808090 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95a8 G1:85d5 G2:a482 G3:5595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15159515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80c18080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:8000 G2:8000 G3:1515 A1- G0:80c0 G1:8000 G2:8080 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:a0808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:a0808000 G1:80000000 G2:84808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:82000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:8000 G2:8000 G3:1515 A1- G0:8080 G1:8200 G2:8080 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000200 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:84808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808010 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:8000 G2:8000 G3:1515 A1- G0:a080 G1:8000 G2:8480 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:a0808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:11151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15141515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151517 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:888a8888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:8080c080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:17141515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15141515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:14151515 
A0- G0:80808008 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000040 G3:15141515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:88808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151517 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15141515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80400000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80400000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:05151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:88808080 G3:15551515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151517 
A0- G0:80808000 G1:81000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80400000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808400 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80080000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151535 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000008 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808008 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808082 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:84808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000100 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151517 
A0- G0:80808000 G1:80000000 G2:80000000 G3:05151515 A1- G0:80c08000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:8000 G2:8000 G3:1514 A1- G0:8080 G1:8000 G2:8080 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151595 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151517 
A0- G0:80808000 G1:80000008 G2:80000000 G3:15150515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808008 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:14151515 
A0- G0:80888000 G1:80000000 G2:80000000 G3:05151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80 G1:80 G2:80 G3:15 A1- G0:80 G1:80 G2:80 G3:15 A2- G0:80 G1:80 G2:88 G3:15 
A0- G0:80808000 G1:80000000 G2:80000000 G3:05151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808008 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:05151515 A1- G0:80808000 G1:80000000 G2:80828080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:84808010 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15153515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:8000 G2:8000 G3:0515 A1- G0:8080 G1:8000 G2:8080 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1515 
A0- G0:80808008 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:1515151d 
A0- G0:82808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15153515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15153515 A2- G0:80808000 G1:80000000 G2:88888888 G3:1d151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000020 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80040020 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:11151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:88808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000020 G2:88888888 G3:15151515 
A0- G0:80808800 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888088 G3:15151515 
A0- G0:80808800 G1:80000000 G2:80000000 G3:15141515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:8000 G2:8000 G3:1515 A1- G0:8080 G1:8000 G2:8080 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1115 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80888000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000001 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151415 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000008 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80888000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000200 G2:80808080 G3:15151515 A2- G0:80888000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:8000 G2:8000 G3:1515 A1- G0:8080 G1:8000 G2:8080 G3:1515 A2- G0:8088 G1:8000 G2:8888 G3:1515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15150515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80002000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80002000 G2:88888888 G3:15151715 
A0- G0:00808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80002000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:00000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80002000 G2:88888888 G3:15151515 
A0- G0:8080 G1:8000 G2:8000 G3:1515 A1- G0:8080 G1:8000 G2:8080 G3:1515 A2- G0:8080 G1:8010 G2:8888 G3:1515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151d15 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:00808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15150515 A2- G0:80808000 G1:80000040 G2:88888888 G3:15151515 
A0- G0:81808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15150515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:a0808000 G1:88000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:8000 G2:8000 G3:1515 A1- G0:a080 G1:8800 G2:8080 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151595 A1- G0:a0808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000004 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:c0000000 G2:88888888 G3:15151515 
