A0- G0:aa G1:88 G2:88 G3:55 A1- G0:a8 G1:88 G2:80 G3:15 A2- G0:88 G1:80 G2:00 G3:11 
A0- G0:80 G1:85 G2:84 G3:55 A1- G0:80 G1:80 G2:a0 G3:15 A2- G0:95 G1:85 G2:a4 G3:55 
A0- G0:8080 G1:8000 G2:8000 G3:1515 A1- G0:8080 G1:8000 G2:8080 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1515 
A0- G0:80808082 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a0008000 G3:15151515 A2- G0:b5aab5aa G1:85d5a5d5 G2:a482a482 G3:55955594 
A0- G0:80 G1:85 G2:84 G3:55 A1- G0:80 G1:80 G2:20 G3:15 A2- G0:95 G1:85 G2:a4 G3:55 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:d5aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8000 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808882 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a0008000 G3:15151515 A2- G0:95aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808082 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a0008000 G3:15151515 A2- G0:b5aab1aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80828000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:55151515 
A0- G0:80808082 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80408000 G2:a0008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80800000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808004 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A1- G0:80808080 G1:80008000 G2:80808080 G3:15151515 A2- G0:80808080 G1:80008000 G2:88888888 G3:15151515 
A0- G0:80808080 G1:85c585c5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80 G1:85 G2:84 G3:55 A1- G0:80 G1:80 G2:80 G3:15 A2- G0:b5 G1:85 G2:a4 G3:55 
A0- G0:8080 G1:85c5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:a020 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8040 G2:a000 G3:1515 A2- G0:b5aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:8000 G2:8000 G3:1515 A1- G0:a080 G1:8000 G2:8080 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15159515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:55151515 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:4595 
A0- G0:80808080 G1:85d585d5 G2:848284a2 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808004 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808800 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:88000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a0008000 G3:55151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808000 G1:80000000 G2:80000008 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:8888c888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808400 G1:80000000 G2:80808080 G3:15151515 A2- G0:80800000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:559555d5 A1- G0:80808080 G1:80008000 G2:a0008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008001 G2:a0008000 G3:55151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:a400 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:d595 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:80a0 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808000 G1:80000000 G2:80004000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:559555d5 A1- G0:80808080 G1:80008000 G2:a0008040 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80a0 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808082 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a0008000 G3:15151515 A2- G0:95aab5aa G1:85d585d5 G2:a482a482 G3:559555d5 
A0- G0:80808002 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:5515 A2- G0:b5aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:85d5 G2:84a2 G3:5595 A1- G0:80a0 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080a000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80 G1:85 G2:a4 G3:55 A1- G0:80 G1:80 G2:a0 G3:15 A2- G0:95 G1:85 G2:a4 G3:55 
A0- G0:80808000 G1:80000000 G2:80020000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80040000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80 G1:85 G2:a4 G3:55 A1- G0:80 G1:80 G2:a4 G3:15 A2- G0:95 G1:85 G2:a4 G3:55 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808880 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:8000 G2:8000 G3:1515 A1- G0:9080 G1:8000 G2:8080 G3:1515 A2- G0:8080 G1:8000 G2:8888 G3:1515 
A0- G0:8080 G1:8585 G2:a4a4 G3:5555 A1- G0:8080 G1:8080 G2:a4a4 G3:1515 A2- G0:9595 G1:8585 G2:a4a4 G3:5555 
A0- G0:80808082 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a0008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a480a482 G3:55955595 
A0- G0:80808082 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a0008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:5595d595 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8000 G2:a008 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008004 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808080 G1:85d585d5 G2:84828c82 G3:55955595 A1- G0:80808080 G1:80008000 G2:a0008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
