A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:8482 G3:4595 
A0- G0:aaaa G1:8888 G2:8888 G3:5151 A1- G0:a8a8 G1:8888 G2:8080 G3:1515 A2- G0:8888 G1:8080 G2:0000 G3:1111 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:81d581d5 G2:84828482 G3:55955595 
A0- G0:80808280 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:84828482 G3:55955595 
A0- G0:aaaa G1:8888 G2:8888 G3:5555 A1- G0:a8a8 G1:8888 G2:8480 G3:1515 A2- G0:8888 G1:8080 G2:0000 G3:1111 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:c000 G3:1515 A2- G0:b5aa G1:85d5 G2:8482 G3:5595 
A0- G0:8a G1:80 G2:88 G3:55 A1- G0:a8 G1:88 G2:80 G3:15 A2- G0:88 G1:80 G2:00 G3:11 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151415 A2- G0:b5aab5aa G1:85d585d5 G2:84828482 G3:55955595 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:c000 G3:1515 A2- G0:b5aa G1:85d5 G2:84a2 G3:5595 
A0- G0:80808080 G1:85d585d5 G2:8c828c82 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:8200 G3:1515 A2- G0:b5aa G1:85d5 G2:8482 G3:5595 
A0- G0:8080 G1:85d5 G2:8482 G3:5795 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:8482 G3:5595 
A0- G0:8080 G1:85d5 G2:8c82 G3:5595 A1- G0:8080 G1:8000 G2:8800 G3:1515 A2- G0:b5aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808000 G1:85d556a8 G2:94822280 G3:55953755 A1- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A2- G0:b5aaad57 G1:85d556a8 G2:84822280 G3:55953555 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5ba G1:81d5 G2:8482 G3:5595 
A0- G0:80808000 G1:85d556aa G2:84822280 G3:55953555 A1- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A2- G0:b5aaad57 G1:85d556a8 G2:84822280 G3:55953555 
A0- G0:80808000 G1:85d556a8 G2:84822280 G3:d5953555 A1- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A2- G0:b5aaad57 G1:85d556a8 G2:84822280 G3:55953555 
A0- G0:80808000 G1:85d756a8 G2:84822280 G3:55953555 A1- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A2- G0:b5aaad57 G1:85d556a8 G2:84822280 G3:55953555 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1514 A2- G0:b5aa G1:85d5 G2:8482 G3:5595 
A0- G0:8080 G1:85d5 G2:8c82 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:a482 G3:5594 
A0- G0:80808000 G1:85d556a8 G2:84822280 G3:55953755 A1- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A2- G0:b5aaad57 G1:85d556a8 G2:84c22280 G3:55953555 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80808000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d785d5 G2:a482a482 G3:55955595 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:a482 G3:5591 
A0- G0:8080c000 G1:85d556a8 G2:84822280 G3:55953555 A1- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A2- G0:b5aaad57 G1:85d556a8 G2:84822280 G3:55953555 
A0- G0:8080 G1:85d5 G2:8482 G3:5d95 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:8482 G3:5595 
A0- G0:8080 G1:95d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:8482 G3:5595 
A0- G0:80808080 G1:85d585d5 G2:84828482 G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:c4828482 G3:55955595 
A0- G0:80808080 G1:85d585d5 G2:8482848a G3:55955595 A1- G0:80808080 G1:80008000 G2:80008000 G3:15151515 A2- G0:b5aab5aa G1:85d585d5 G2:84828482 G3:55955595 
A0- G0:80808000 G1:85d556a8 G2:84822280 G3:55953555 A1- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A2- G0:b5aaad57 G1:81d556a8 G2:84822280 G3:55953555 
A0- G0:80c0 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:8482 G3:5595 
A0- G0:8080 G1:85d5 G2:8482 G3:5795 A1- G0:8080 G1:8000 G2:8000 G3:1517 A2- G0:b5aa G1:85d5 G2:8482 G3:5595 
A0- G0:8080 G1:8595 G2:8c82 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:a482 G3:5595 
A0- G0:8 G1:8 G2:8 G3:5 A1- G0:a G1:8 G2:8 G3:1 A2- G0:8 G1:8 G2:0 G3:1 
A0- G0:80 G1:85 G2:8c G3:55 A1- G0:80 G1:80 G2:80 G3:15 A2- G0:b5 G1:85 G2:a4 G3:55 
A0- G0:8080 G1:85d5 G2:8c82 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:a082 G3:5595 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:8000 G3:1515 A2- G0:b5aa G1:85d5 G2:8482 G3:5515 
A0- G0:8a8a G1:8888 G2:8888 G3:5555 A1- G0:a8a8 G1:8888 G2:8080 G3:1515 A2- G0:8888 G1:8080 G2:0000 G3:1111 
